Sample	L_sinapis-DNA-BLab	No_hits	Lotus_corniculatus-genomic-NCBI	23S_28S_LSU_rRNA_insecta-SILVA	Adapters_Illumina	Lotus_japonicus-genomic	16S_18S_SSU_rRNA_insecta-SILVA	5S_rRNA_Rfam-EMBL-EBI-all_species	5_8S_rRNA_Rfam-EMBL-EBI-all_species	Multiple_Genomes	Wolbachia-DNA-ensembl	Drosophila_ensembl	Human_ensembl	L_sinapis-repeats-BLab
P11917_139_S86_R2_001_SORTMERNA_CLEAN_screen	7582846.0	887899.0	0.0	0.0	0.0	291.0	0.0	0.0	0.0	505033.0	203.0	562.0	889.0	25.0
P11917_140_S87_R1_001_SORTMERNA_CLEAN_screen	9876863.0	374531.0	0.0	0.0	1.0	447.0	0.0	0.0	0.0	539994.0	76.0	552.0	889.0	67.0
P11917_140_S87_R2_001_SORTMERNA_CLEAN_screen	9784092.0	447926.0	0.0	0.0	0.0	577.0	0.0	0.0	0.0	559320.0	79.0	505.0	844.0	77.0
P11917_141_S88_R1_001_SORTMERNA_CLEAN_screen	9359744.0	540932.0	0.0	0.0	0.0	620.0	0.0	0.0	0.0	438151.0	448.0	1214.0	1740.0	28.0
P11917_141_S88_R2_001_SORTMERNA_CLEAN_screen	9313402.0	582303.0	0.0	0.0	0.0	877.0	0.0	0.0	0.0	442947.0	475.0	1100.0	1744.0	29.0
P11917_142_S89_R1_001_SORTMERNA_CLEAN_screen	7339379.0	724622.0	0.0	0.0	2.0	389.0	0.0	1.0	0.0	349183.0	708.0	694.0	1055.0	19.0
P11917_142_S89_R2_001_SORTMERNA_CLEAN_screen	7306695.0	750711.0	0.0	0.0	0.0	542.0	0.0	0.0	0.0	355818.0	726.0	600.0	926.0	34.0
P11917_143_S90_R1_001_SORTMERNA_CLEAN_screen	9285364.0	428393.0	0.0	1.0	1.0	198.0	0.0	0.0	0.0	606210.0	18.0	883.0	1563.0	93.0
P11917_143_S90_R2_001_SORTMERNA_CLEAN_screen	9198252.0	466587.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0	655355.0	19.0	745.0	1461.0	48.0
P11917_144_S91_R1_001_SORTMERNA_CLEAN_screen	9274413.0	714743.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	292049.0	151.0	945.0	1545.0	19.0
P11917_144_S91_R2_001_SORTMERNA_CLEAN_screen	9216853.0	747652.0	0.0	0.0	0.0	280.0	0.0	0.0	0.0	317093.0	177.0	668.0	1348.0	13.0
P11917_145_S92_R1_001_SORTMERNA_CLEAN_screen	5903006.0	169798.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	382004.0	146.0	402.0	719.0	19.0
P11917_145_S92_R2_001_SORTMERNA_CLEAN_screen	5842103.0	197559.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	415314.0	132.0	305.0	679.0	16.0
P11917_146_S93_R1_001_SORTMERNA_CLEAN_screen	6638465.0	150484.0	0.0	0.0	0.0	190.0	0.0	0.0	0.0	409382.0	80.0	521.0	1064.0	22.0
