gene_id,P5052_202_S48,P5052_203_S49,P5052_204_S34,P5052_205_S35,P5052_210_S51,P5052_211_S52,P5052_212_S36,P5052_213_S53,P5052_218_S55,P5052_219_S56,P5052_220_S57,P5052_221_S58,P5052_226_S59,P5052_227_S38,P5052_233_S60,P5052_234_S61,P5052_235_S62,P7553_325_S10
leptidea_sinapisG00000007808,325,194,327,95,230,181,29,181,142,136,128,263,415,1275,140,71,69,526
leptidea_sinapisG00000007809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000008228,114,93,69,13,57,43,0,58,16,15,120,132,82,393,7,15,22,48
leptidea_sinapisG00000012846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000008262,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000015425,68,31,40,14,22,22,0,26,4,15,32,126,67,104,10,10,15,79
leptidea_sinapisG00000006896,16,21,0,0,8,17,0,10,0,0,21,42,7,0,11,3,32,7
leptidea_sinapisG00000009115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
leptidea_sinapisG00000006891,0,0,0,0,2,0,0,0,0,0,9,7,6,0,7,0,0,0
leptidea_sinapisG00000005529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000005528,23,3,57,0,5,0,67,0,15,0,118,0,0,0,357,101,288,0
leptidea_sinapisG00000005525,13,17,6,0,7,20,0,29,2,8,22,92,79,477,9,36,28,110
leptidea_sinapisG00000005524,109,63,28,0,30,45,0,20,13,28,75,125,46,70,44,31,71,33
leptidea_sinapisG00000015424,64,40,0,0,41,13,0,14,33,5,24,51,51,0,80,23,33,92
leptidea_sinapisG00000005526,0,0,6,0,0,3,0,0,0,0,7,20,0,0,0,0,0,2
leptidea_sinapisG00000005521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000005520,0,0,0,0,0,0,0,0,0,0,0,15,27,368,1284,456,23540,64
leptidea_sinapisG00000005523,227,144,351,141,212,106,27,291,62,72,423,478,413,1065,236,241,209,484
leptidea_sinapisG00000009774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000012619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000012618,705,703,31,81,661,230,19,215,228,274,365,137,262,1339,127,140,65,159
leptidea_sinapisG00000008588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,0
leptidea_sinapisG00000008589,3,2,0,0,3,2,0,24,5,2,202,0,42,98,0,0,33,16
leptidea_sinapisG00000008584,109,55,97,0,27,27,0,21,16,0,14,50,197,86,46,29,133,55
leptidea_sinapisG00000012612,458,270,192,63,319,99,49,176,99,107,598,431,575,1224,261,215,300,479
leptidea_sinapisG00000008586,9,16,5,15,23,4,0,6,5,5,9,32,68,265,17,4,32,72
leptidea_sinapisG00000012610,17,7,0,0,32,8,0,4,10,0,18,12,5,19,29,7,0,6
leptidea_sinapisG00000012617,5,0,0,0,0,2,0,2,0,0,0,62,0,0,0,0,0,0
leptidea_sinapisG00000012616,32,5,31,0,27,21,0,2,3,5,10,31,57,150,152,231,119,68
leptidea_sinapisG00000008582,64,19,251,0,32,0,40,10,26,0,105,15,0,0,973,467,1480,0
leptidea_sinapisG00000008583,96,65,207,45,66,74,9,72,28,23,114,303,125,753,169,296,215,125
leptidea_sinapisG00000002348,56,77,60,0,67,51,0,21,24,28,83,85,145,385,91,63,163,130
leptidea_sinapisG00000015427,0,0,0,0,0,0,0,0,0,0,1,27,4,0,0,0,0,0
leptidea_sinapisG00000009775,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0
leptidea_sinapisG00000012845,0,0,0,0,0,3,0,0,0,0,0,31,0,0,0,0,0,0
leptidea_sinapisG00000009369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000009368,142,74,50,7,160,73,7,57,36,63,120,303,279,781,220,122,185,375
leptidea_sinapisG00000009363,632,605,536,42,867,1076,14,279,242,467,873,2235,508,1407,706,620,264,379
leptidea_sinapisG00000009362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000009361,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
leptidea_sinapisG00000009360,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0
leptidea_sinapisG00000009367,54,22,52,35,22,30,0,41,8,20,155,105,74,455,104,183,197,122
leptidea_sinapisG00000009366,9,5,0,0,10,13,0,6,3,2,10,7,0,0,0,0,0,0
leptidea_sinapisG00000009365,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,29,0
leptidea_sinapisG00000009364,2,18,5,0,3,4,9,2,0,2,5,2,20,82,9,17,1,2
leptidea_sinapisG00000012878,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,11,7,0
leptidea_sinapisG00000015426,204,143,350,47,297,101,16,87,67,68,211,578,485,1043,260,239,195,357
leptidea_sinapisG00000004983,139,100,211,35,125,57,20,99,32,42,332,727,80,793,283,260,205,92
leptidea_sinapisG00000012925,44,37,36,6,17,24,5,16,10,6,22,52,10,43,1,7,4,11
leptidea_sinapisG00000009253,9,16,9,0,9,12,0,0,0,0,15,12,13,8,10,13,14,27
leptidea_sinapisG00000012927,86,41,209,0,35,0,80,1,68,0,177,0,0,0,824,559,1362,0
leptidea_sinapisG00000012926,36,20,148,23,3,0,3,110,0,10,155,99,25,32,14,8,41,29
leptidea_sinapisG00000012921,26,32,2,0,24,8,0,6,20,0,113,7,27,7,45,39,123,19
leptidea_sinapisG00000012920,185,109,144,39,173,66,17,46,33,31,168,331,451,626,93,71,148,350
leptidea_sinapisG00000012923,77,34,294,59,127,45,0,133,6,11,58,59,31,357,187,179,36,63
leptidea_sinapisG00000012922,75,61,9,8,60,64,0,24,11,20,56,87,37,55,27,20,14,46
leptidea_sinapisG00000012929,122,136,15,49,26,69,0,501,20,67,1555,399,34,492,28,33,28,35
leptidea_sinapisG00000009251,51,18,131,0,29,0,22,3,36,0,105,0,3,0,378,252,738,0
leptidea_sinapisG00000011137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000000286,184,139,27,8,436,91,0,36,152,92,171,597,82,299,165,161,227,93
leptidea_sinapisG00000011136,41,28,37,0,25,34,0,14,0,3,50,43,47,210,38,31,85,89
leptidea_sinapisG00000009705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000011135,219,192,584,187,736,241,184,699,400,143,2302,738,2458,8832,1977,2703,2761,2423
leptidea_sinapisG00000009704,10208,7049,21084,5020,6610,5572,6843,14694,9143,4769,16602,6327,53924,117928,40250,35555,71877,42605
leptidea_sinapisG00000015548,58,53,4,0,85,66,0,0,5,10,0,0,0,0,8,0,11,0
leptidea_sinapisG00000009186,34,18,84,4,27,6,2,20,13,17,15,53,53,180,24,14,29,58
leptidea_sinapisG00000009185,99,64,138,0,73,56,18,53,6,28,81,201,498,1822,61,18,61,490
leptidea_sinapisG00000011642,20,17,2,0,15,31,0,14,5,6,55,37,33,54,16,43,32,20
leptidea_sinapisG00000013698,3258,4286,3982,766,1532,1123,154,1375,1212,908,1268,4223,8016,17929,7341,12935,5016,5763
leptidea_sinapisG00000009255,255,165,335,82,199,82,14,130,76,61,172,340,483,888,183,105,255,436
leptidea_sinapisG00000009181,8,7,7,0,8,4,0,2,0,0,0,5,7,22,0,0,8,5
leptidea_sinapisG00000009180,10,0,0,0,0,0,0,0,0,0,0,69,6,0,0,0,0,0
leptidea_sinapisG00000013694,7685,6534,22583,3910,6188,8153,7386,13239,7200,6088,27608,20777,21301,63855,21385,22898,25291,28249
leptidea_sinapisG00000013695,83,47,7,0,8,38,0,27,21,10,46,39,86,341,12,0,7,85
leptidea_sinapisG00000013696,0,0,0,0,2,0,0,0,3,0,4,21,10,0,3,3,8,0
leptidea_sinapisG00000013697,10,2,0,0,8,3,0,0,0,0,5,5,0,8,0,4,5,9
leptidea_sinapisG00000013690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leptidea_sinapisG00000013691,47,28,47,0,18,15,0,46,0,12,119,106,13,119,41,54,7,20
leptidea_sinapisG00000013692,11,6,146,23,3,10,21,4,0,7,8,61,60,375,42,134,28,23
